ID,hamming_cluster
20060302062260,2
20070302072279,2
20060706061437,1
20150302151445,5
20150807150502,2
20090112082296,5
20130403132229,5
20050403051259,3
20101109101751,6
20120908120030,5
20170907170582,5
20130402131403,6
20070101071197,1
20161009160020,5
20130302130912,6
20090303092260,2
20101110102274,6
20040504041053,1
20031211031804,2
20131212132370,1
20150302152072,4
20150606152383,5
20040403040048,5
20180302181597,6
20090806091539,5
20171211171192,1
20110807111955,6
20140301141389,2
20081009081028,6
20120112111767,1
20050908050707,3
20031110032672,1
20170807170036,5
20151211151594,6
20181212182254,5
20081110081629,1
20110808110145,5
20080807081579,2
20050402051006,6
20170807171809,5
20080504081233,1
20120112110820,2
20170112161127,5
20101110100845,2
20140201141873,3
20091110092459,1
20090605090934,6
20061211060530,1
20100605100650,2
20130805132311,1
20100706102259,2
20061009060003,1
20170404170974,6
20081009080502,2
20170807171963,2
20070908072316,2
20130807131215,1
20140706142008,2
20180706181087,2
20120908121992,6
20100403100712,1
20100201101615,2
20050201050035,4
20150707151067,1
20140201142066,5
20100112091702,5
20131009131076,6
20140112131974,2
20060605061440,1
20051211050007,6
20170404171389,2
20071110071933,6
20160909161030,2
20131110131181,1
20050808052158,4
20121010122427,6
20130706131262,2
20081110081365,5
20070403072449,6
20110302112096,6
20070605072594,5
20160112152086,2
20081009080643,1
20170101170806,1
20121211122331,2
20161210160658,2
20030302031896,2
20041008041003,1
20121009120898,3
20080908081609,3
20060504060979,5
20160403160786,2
20120201121380,2
20150403150797,5
20160808160554,6
20140909141024,2
20180303180036,3
20110907112272,2
20140302141120,1
20160807160688,1
20180302181447,1
20090706091704,2
20120201121447,2
20140807140034,6
20071009070755,1
20071110070115,2
20180112171818,2
20130504131643,6
20100706101584,6
20150706151821,5
20070402070134,4
20171008170744,1
20140101140028,6
20031211032827,2
20120101121101,4
20150807150604,5
20070403070571,4
20030302031095,6
20030403033496,2
20080403080716,3
20041210040801,1
20150606151916,3
20140504141525,5
20120707121004,6
20091211092356,5
20040112033023,4
20120706122142,2
20090706091562,1
20140908141636,5
20111212110734,6
20120605122282,6
20140604141653,5
20140908142111,3
20070908071179,6
20160706162103,2
20140808140104,1
20110201111900,6
20080302081988,3
20100504100906,6
20070503071748,3
20050101051853,6
20141211141571,6
20111009112337,1
20060403061446,6
20100605100916,2
20120807120001,6
20100605102325,4
20070302071274,1
20030808032269,6
20121211121874,5
20140403141567,3
20040605041801,6
20060403060610,1
20061209061942,1
20060605061358,1
20060201062565,6
20071010070542,5
20070302071833,2
20050302050560,2
20140706140818,4
20090403091976,2
20051211052313,6
20070504072362,1
20150403151570,1
20090112080748,2
20050807052491,2
20050807052510,2
20121110120538,1
20080605081165,5
20030112022442,3
20060302062018,5
20080707081887,6
20081009081434,2
20050908050875,5
20130201130890,5
20060807061663,1
20110606111696,6
20160403161876,1
20171211172462,6
20101110101087,1
20040605042190,5
20050806052039,6
20181211180506,1
20060707062461,2
20091010091602,5
20040302041703,6
20061110062251,3
20091009091604,2
20180605181201,6
20080807081473,1
20040302041774,1
20151109152083,1
20180503180870,5
20170112161291,5
20070302071220,2
20050201051566,6
20110808111417,5
20090707091395,6
20160605160949,2
20100807102538,2
20141211140560,1
20110112101252,2
20100605101838,6
20160212152404,6
20070302070948,1
20040112032373,2
20141210141295,2
20120403122174,6
20080909082417,2
20150302152210,1
20120403121822,2
20080212070803,2
20080605080920,5
20171211171412,1
20090504091986,6
20170806172378,5
20070706071913,2
20041010042532,6
20130706131304,5
20101009102047,2
20141009142313,5
20031211030130,5
20180112171069,1
20050112041993,5
20180403182015,1
20050806052195,1
20080706081681,2
20131109131044,2
20090112081901,4
20031210033228,2
20040706042320,3
20090302091932,2
20060807060816,6
20050604052327,6
20160302162036,6
20080403081686,1
20030605033656,2
20130505130881,5
20161010161329,3
20081007082189,2
20150112141613,2
20181212182252,2
20060403060582,3
20080403081875,2
20050807050528,5
20050807050799,6
20050201051950,5
20140605141290,5
20090212080796,6
20171009170511,1
20140504140547,2
20071211070901,5
20181110181910,6
20050807050548,2
20080907080666,1
20121211120903,5
20171109172397,6
20140806141286,6
20101111102402,5
20070403071062,2
20040707042531,5
20110807111507,6
20041211041549,6
20040807041518,5
20060111051175,6
20160302160643,5
20120806122196,6
20180907180077,2
20060807060818,5
20030302031407,5
20120212110921,3
20110403110516,6
20151009151877,2
20171110171807,1
20060705062552,5
20101110101655,5
20090504091337,6
20100403101977,2
20160807161718,5
20050112041352,4
20080112070719,3
20161211161105,1
20101008101039,3
20080504081948,2
20090404091875,5
20161009160541,2
20170605170113,6
20161110161593,2
20100807102343,1
20050504051948,6
20030402031232,6
20080505081130,2
20160504160709,5
20180605180764,1
20050302051718,6
20110101112180,5
20090302092212,2
20101211101984,6
20060112052142,3
20120403122211,1
20030706031160,2
20160807160571,6
20120201121422,5
20060807061691,1
20070403072094,2
20030908032434,1
20110111102446,1
20170201171743,2
20070201072232,2
20181111181456,5
20130807131244,2
20120909121705,6
20160403161818,2
20110706111130,5
20080605081526,6
20141110141966,5
20100302102205,6
20091009091576,5
20170605171207,6
20040706040054,4
20120706122037,5
20030112023232,2
20170907170750,2
20110706110043,1
20101211101595,5
20130705131073,2
20080605082461,6
20060112051675,1
20130807130544,4
20090807092125,1
20070402070739,5
20060201060532,1
20100908102388,6
20030112021777,2
20130503130754,1
20140908140530,5
20160505161134,1
20120808122488,5
20031009030892,6
20160807160056,6
20110908112056,6
20131009132325,2
20100908101130,2
20180807181042,1
20181009181309,2
20140706140851,5
20130212120510,5
20100807102138,5
20150807151152,1
20091009090795,4
20050201050765,1
20081110080021,1
20060906060647,1
20171008171037,2
20051009051905,2
20080401080510,3
20140302142027,2
20160605160559,6
20160605161999,2
20131210130542,3
20150807150645,6
20090706091053,1
20180705182426,6
20110605111916,5
20181009181458,2
20161009161518,6
20110505110041,3
20150112140794,1
20170403170632,6
20180808180802,2
20131110130701,2
20171010171949,6
20040906041316,5
20070908071598,2
20040303041367,3
20140706141394,5
20080201080985,2
20111211111429,1
20091009090852,5
20121211121992,5
20110112101046,3
20071211071968,2
20140908142073,6
20091009092372,1
20161110161235,3
20041009041590,6
20160908160510,6
20141009141478,5
20081008080866,5
20110504110527,1
20080705081337,2
20051211050793,5
20060403061662,2
20111010111685,5
20040806041810,6
20050505051212,1
20160605162494,1
20150706151028,5
20090302091276,5
20131110131968,5
20090402091867,2
20030112021005,2
20080706082347,6
20080302081874,6
20040908041718,3
20180706181121,6
20030908031701,2
20081009082282,5
20141110142514,6
20121212121270,5
20170503171349,2
20081110081333,2
20060302060083,2
20091211091919,2
20150808150652,6
20031009030593,1
20171009171581,1
20170908172505,2
20120705121282,6
20110403112031,6
20040605041803,5
20160302160987,5
20060101061781,2
20170605171463,5
20090112082474,6
20160403160782,1
20170808171095,3
20180101180897,1
20120807121734,6
20130403130767,1
20150403150155,6
20180705181470,2
20091111090948,3
20060807061140,5
20071009072528,5
20110605111578,5
20140604140609,2
20121010122450,5
20040302042478,6
20050201050015,5
20111110110779,4
20131211132170,1
20060908062241,5
20030908032124,2
20050302051598,2
20051110050598,2
20180503181205,2
20090302090139,6
20060504060080,6
20080808082247,5
20110908110924,1
20140603142334,2
20030604031179,5
20071110072192,2
20030201032254,3
20160807161159,5
20041110041185,6
20101110101528,6
20120403120589,5
20170807172504,5
20130201131816,6
20040403040070,5
20101009101933,5
20090302092357,6
20110908110511,5
20110403111399,5
20030403031280,3
20081008082078,3
20050112042533,2
20101110101306,2
20100112092411,4
20040909040983,6
20180201180778,2
20120605120857,6
20111211110523,5
20170706171790,5
20121009120857,5
20181110182062,5
20030605033634,1
20180302181274,1
20130706130794,6
20040301041815,5
20141211141066,6
20150404151136,6
20150112140694,2
20171009172119,3
20170111161705,6
20150908150959,3
20180403181318,6
20150504152151,6
20150301152451,5
20150605152253,6
20100807101001,1
20120807121959,5
20140504142415,6
20120706121292,2
20080504082482,1
20111010111139,6
20180707180873,2
20100604100875,6
20040201042075,6
20040504042159,1
20050302052157,2
20030706030863,6
20040605041806,2
20180807180931,5
20070302070699,1
20030503031373,2
20170908172424,5
20031109033416,3
20141008141756,6
20131211131178,5
20120505121702,6
20081211081443,6
20050908051575,5
20050201051849,3
20120101120757,6
20060807062198,5
20140706141427,1
20170201170148,4
20121211120771,6
20121010122467,6
20070111060781,2
20060707062515,6
20071009072527,6
20160404160897,5
20151211151067,2
20060201061263,2
20170706171426,2
20110808112167,1
20150707151146,1
20061211061778,1
20130201130547,6
20110706110737,6
20101009102005,5
20180706180112,6
20130504132424,2
20110706111356,1
20050908052450,2
20180112170705,5
20041110041652,2
20180112171638,3
20050707052548,2
20110403112064,5
20090504091285,5
20161211161441,5
20131009131015,2
20130302132173,6
20110706111132,6
20181111181840,2
20080909082173,2
20050706051982,2
20180807181242,2
20130909130043,2
20121211122218,5
20050403051561,1
20030302031539,6
20040302041480,5
20140908141465,1
20130111121500,5
20180504181223,3
20090504090802,2
20160403160011,2
20060908061677,2
20121010122337,6
20070504072129,1
20061008061093,5
20100605101299,5
20050404052060,1
20060303062091,6
20041009040847,2
20140403141896,5
20161110161298,1
20110806111655,5
20140402140666,2
20031110032024,6
20180201180698,2
20030111022693,1
20050808051297,6
20100605101589,1
20050404051395,3
20070112061226,6
20160808161922,2
20180806180730,5
20170707170576,6
20111211110891,1
20030504031729,5
20070706070059,6
20100403101251,4
20040605041745,5
20110201111877,2
20110301110844,2
20140101142043,1
20120403120576,6
20160403161381,1
20030908032130,1
20111009112489,2
20030605031497,6
20090706091794,1
20140807142177,6
20100909100865,6
20090807092179,5
20170111161256,3
20100605102027,2
20100403101805,2
20041111041520,2
20090707091142,5
20170605172097,6
20091211092413,2
20160605161132,5
20110503112004,1
20150301151380,5
20141211141022,3
20170404170832,6
20161110161657,5
20101211100579,5
20100402100781,3
20111211111423,2
20041008041014,2
20150302150866,3
20051010051240,1
20120706121897,2
20171009171650,1
20060302060909,1
20091110090669,2
20090605092386,2
20171009171320,5
20081211080009,1
20150503150931,2
20050504050745,1
20180112170676,1
20030201033017,5
20150908151756,2
20150403152187,1
20170807170665,1
20050302051194,5
20140403140801,2
20041009041176,1
20160808160754,5
20140402140604,5
20070503072436,2
20070807071500,6
20101009101003,2
20071110071713,3
20140807141041,2
20100302101526,1
20160301162488,5
20121109121486,2
20080504081761,5
20170504171237,1
20111110110657,6
20030202030506,6
20071009071831,5
20051110052378,2
20160302162049,2
20080605080527,6
20091009092255,2
20110604111482,6
20171110171129,5
20180112170087,6
20040907042335,3
20150504151113,2
20090908091340,5
20140201140903,3
20080909082345,5
20031009031008,5
20060401060822,5
20061010061977,3
20160202162020,5
20040111031711,2
20180202182185,5
20040101040534,5
20041009041606,1
20180212171949,2
20110505111132,6
20090403090886,3
20061110060688,6
20070908071320,2
20081010080131,6
20160403161808,6
20080807080647,1
20031110031555,6
20121009120555,5
20110908110771,6
20150504151888,5
20030909033651,2
20120404121319,6
20030906030873,1
20100707101379,6
20120504122066,4
20150807151099,6
20070605070530,5
20030807030928,2
20031009032808,2
20120908120667,1
20180302182281,5
20100201101183,6
20140807141911,6
20041111041964,2
